case,number,f_73,f_59,f_25,f_120,f_55,f_178,f_179,f_81,f_17,f_47
Case001-1,175687,0.791257917881012,0.7286643981933594,0.7720449566841125,0.7867360711097717,0.8111461400985718,0.7102451324462891,0.8622318506240845,0.7949268221855164,0.7217091917991638,0.7186068892478943
Case001-1,176187,0.8791704773902893,0.8610554933547974,0.8792356252670288,0.890091061592102,0.8694249391555786,0.86114901304245,0.8108044266700745,0.8943700194358826,0.886328935623169,0.8566581606864929
Case001-1,176228,0.7978710532188416,0.7956054210662842,0.7359758615493774,0.7392541766166687,0.7921710014343262,0.7791299819946289,0.8797401189804077,0.8347585797309875,0.7553061246871948,0.7471452355384827
Case001-1,176266,0.7334806323051453,0.8129274845123291,0.6298310160636902,0.7535218596458435,0.8196255564689636,0.7995232343673706,0.7620975971221924,0.8778647184371948,0.8323138952255249,0.846761167049408
Case001-1,176279,0.6577939987182617,0.8653913736343384,0.5505309700965881,0.7358176708221436,0.7774225473403931,0.8033893704414368,0.7237139344215393,0.7593926787376404,0.8629036545753479,0.8489848375320435
Case001-1,176282,0.7767825126647949,0.9071699380874634,0.6922881007194519,0.8559386134147644,0.8692260980606079,0.8545324802398682,0.7462849020957947,0.8722041249275208,0.8867535591125488,0.8805851936340332
Case001-1,176343,0.3969776034355163,0.5000829696655273,0.2855501770973205,0.4894142746925354,0.3449600338935852,0.5223173499107361,0.4793415367603302,0.433680921792984,0.5880845189094543,0.5009105801582336
Case001-1,176409,0.5109039545059204,0.6309617757797241,0.4705267250537872,0.6277554631233215,0.6011397838592529,0.6907781958580017,0.5132890939712524,0.5462067127227783,0.8150916695594788,0.7946733832359314
Case001-1,176461,0.8649166822433472,0.8760233521461487,0.8592879772186279,0.8775554299354553,0.890836238861084,0.8462689518928528,0.8800068497657776,0.8557665348052979,0.8957529067993164,0.8735546469688416
Case001-1,176763,0.8658015727996826,0.8800562620162964,0.845800518989563,0.8731573820114136,0.8929524421691895,0.8750636577606201,0.8840347528457642,0.8899438381195068,0.8661751747131348,0.8695935606956482
Case001-1,177366,0.8186431527137756,0.8345683217048645,0.7672382593154907,0.7102527618408203,0.7766521573066711,0.810449481010437,0.7913383841514587,0.6858038306236267,0.7667538523674011,0.8814924955368042
Case001-1,177405,0.8009677529335022,0.8020756840705872,0.7720873355865479,0.7412425875663757,0.8225454092025757,0.7962042689323425,0.8462220430374146,0.7432493567466736,0.7953358292579651,0.8598666787147522
Case001-1,177616,0.8552262783050537,0.869865357875824,0.8024457693099976,0.8636063933372498,0.8788095712661743,0.8229535222053528,0.8963176012039185,0.8539490103721619,0.8584690093994141,0.8579661846160889
Case001-1,177997,0.7264549732208252,0.7844676971435547,0.6778722405433655,0.7779343724250793,0.8345816135406494,0.7203280329704285,0.8967597484588623,0.8353248834609985,0.795046329498291,0.7520601153373718
Case001-1,178574,0.7739988565444946,0.8133844137191772,0.7216900587081909,0.8297958374023438,0.8206321001052856,0.7189387083053589,0.8933753967285156,0.8262266516685486,0.7978910207748413,0.7985618710517883
Case001-1,178725,0.4787729680538177,0.6991329789161682,0.4031338989734649,0.6446530222892761,0.4605897963047027,0.6644752025604248,0.5070363283157349,0.4488840699195862,0.7477937936782837,0.7151768803596497
Case001-1,178846,0.7030101418495178,0.8694137930870056,0.6666985154151917,0.7928256392478943,0.7746391892433167,0.8221960663795471,0.7840601801872253,0.8170186281204224,0.8753793835639954,0.8523215055465698
Case001-1,179057,0.8806582093238831,0.9016612768173218,0.8453218340873718,0.9004026055335999,0.901567816734314,0.8484991192817688,0.9091491103172302,0.90231591463089,0.8851456642150879,0.8778834939002991
Case001-1,179406,0.8517001867294312,0.8430274724960327,0.806244969367981,0.8753424286842346,0.8626924753189087,0.833921492099762,0.9006472229957581,0.832699716091156,0.9041239023208618,0.8833888173103333
Case001-1,179423,0.904363453388214,0.8980525135993958,0.8422645330429077,0.9212923049926758,0.9016332626342772,0.8736921548843384,0.9102320671081544,0.911202907562256,0.8810928463935852,0.8982377052307129
Case001-2,105,0.8834028840065002,0.8743494153022766,0.8355837464332581,0.8975695967674255,0.8774237036705017,0.8829721212387085,0.9089232087135316,0.8701929450035095,0.91902494430542,0.8971883058547974
